"type","name","id","dataverse","securityGroup","apps","flows","customSolutions","powerPages","copilotBots","dormant"
"Default","Corporacion Peruana de Productos Quimicos S.A. (default)","Default-faed75e0-b942-4b73-85ac-7a32b852ceb8","Y","VACIO","134","428","notqueried","notqueried","notqueried","no"
"Developer","Entorno de Felipe Andres Capcha Orellana","95374e1b-baf1-e5a4-a14f-b1deb7a0c5ec","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Developer","Entorno de Miguel Adrian Bravo Salas","59e234e8-b85f-e971-9e6c-a1f5247673ed","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Developer","Entorno de Paul Darwin De La Cruz Cancho","d531c903-151f-ef24-a110-b605230f90ed","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Developer","Javier David Munoz Tintaya's Environment","8c4b1026-6693-ed44-9d0a-a7742ccff5e6","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Developer","PowerPagesDeveloper-061526-125100","21de83dc-cb36-ea3c-b6f5-0b6216e5971e","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Developer","PowerPagesDeveloper-072426-181634","97c28e96-804b-ec6e-bdfe-24413b57421e","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Production","Acuoso","9f5bd241-2bc7-eeaf-8665-d7d537aa64eb","N","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Production","Katty Cruzatt","9b720791-a20d-ec6f-80be-6a7f046129ee","N","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Production","Microsoft 365 Copilot Chat","c1b49030-7e53-e560-b2c3-02202c669ee1","N","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Production","Nivel de Servicio","2d9288dc-3a1e-e102-85f2-c5bd7349bdeb","Y","VACIO","1","11","notqueried","notqueried","notqueried","no"
"Production","P001-CAPEX_Registro","cc875e30-9c84-edc0-afa9-e2b2eda994ec","Y","VACIO","2","1","notqueried","notqueried","notqueried","no"
"Production","PE_RRHH_BIENESTAR_PRD_US","f43c5702-023b-e047-a78d-fecc5b7d111b","Y","5bcb7018-bdec-4c33-9046-78a57c953c2a","0","3","notqueried","notqueried","notqueried","no"
"Sandbox","DEV-SQLOnpremiseConexion","602e73cf-54b3-e06c-9e6b-889dbe3c2107","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Sandbox","Entorno de Prueba","4da9d7a1-3d71-e448-8ebc-7032db7270e8","N","VACIO","2","0","notqueried","notqueried","notqueried","no"
"Sandbox","Microsoft 365","dc7d5ee7-6696-ed90-acdc-ffe9c6047de8","Y","VACIO","0","0","notqueried","notqueried","notqueried","yes"
"Sandbox","P002-Registro_Vehículos","0389357c-d9c5-e057-a2c2-07d620a468e0","N","VACIO","1","0","notqueried","notqueried","notqueried","no"
"Sandbox","P01-ProyectoCapex","294601da-330a-ee36-ae7c-43b5e47232e4","Y","VACIO","2","1","notqueried","notqueried","notqueried","no"
"Sandbox","P01-ProyectoCapex","da0df35e-d8b5-e72b-97e4-50d077d432ed","N","VACIO","2","2","notqueried","notqueried","notqueried","no"
"Sandbox","P02-Revisión Salarial","f7143cf3-f739-eb9f-852e-512782106de2","Y","VACIO","0","1","notqueried","notqueried","notqueried","no"
"Sandbox","TI-Producción","dd56e3d9-09ce-e26e-b55a-a7b3cba4bfe7","Y","VACIO","3","18","notqueried","notqueried","notqueried","no"
"Sandbox","TI-Test","ade38b33-35c7-e69a-b1db-39010e923aeb","Y","VACIO","3","0","notqueried","notqueried","notqueried","no"
"Teams","Costos 2025","1d2ca16b-d829-e554-b9c4-085d3882ece7","Y","a4b053f8-e05a-4600-ae0f-291cee962363","0","0","notqueried","notqueried","notqueried","yes"
"Teams","Desarrollo TI - QROMA","6aa69df4-e18e-e301-b6e5-9327a45b75ee","Y","1216f818-7570-4682-8f90-f471541875e2","0","0","notqueried","notqueried","notqueried","yes"
"Teams","Equipo Riesgos & Control Interno","458a4f47-9db0-e031-9c94-baacda67e1e2","Y","906dfb6f-9c44-4c44-80a7-af87e994b3d2","0","0","notqueried","notqueried","notqueried","yes"
"Teams","IT Funcional","73add4e1-2f52-ecf0-85bb-7d782c3d51e2","Y","8db28199-09a5-4c69-87da-d59a01fa6830","0","0","notqueried","notqueried","notqueried","yes"
"Teams","QROMA - Aplicativos 365","9424f111-eb80-ef1a-9d25-f6ceb079bce3","Y","2fb51953-fc27-418b-880f-ff709ce3906e","0","0","notqueried","notqueried","notqueried","yes"
